[11-Feb-2018 09:57:21 Europe/Berlin] PHP Parse error:  syntax error, unexpected ')' in C:\xampp\htdocs\MHCD\addcustomer.php on line 7
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:57:49 Europe/Berlin] PHP Warning:  mysqli_query() expects at least 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 7
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_real_escape_string() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 4
[11-Feb-2018 09:58:11 Europe/Berlin] PHP Warning:  mysqli_query() expects at least 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 7
[11-Feb-2018 09:58:34 Europe/Berlin] PHP Warning:  mysqli_query() expects at least 2 parameters, 1 given in C:\xampp\htdocs\MHCD\addcustomer.php on line 7
[11-Feb-2018 09:58:43 Europe/Berlin] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, resource given in C:\xampp\htdocs\MHCD\addcustomer.php on line 7
[11-Feb-2018 09:59:13 Europe/Berlin] PHP Warning:  mysqli_select_db() expects parameter 1 to be mysqli, string given in C:\xampp\htdocs\MHCD\required.php on line 9
[11-Feb-2018 09:59:13 Europe/Berlin] PHP Warning:  mysqli_error() expects exactly 1 parameter, 0 given in C:\xampp\htdocs\MHCD\required.php on line 12
[11-Feb-2018 10:11:20 Europe/Berlin] PHP Warning:  mysql_num_rows() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\MHCD\viewcustomers.php on line 10
[11-Feb-2018 10:11:52 Europe/Berlin] PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\MHCD\viewcustomers.php on line 41
